Owner,Repo,Release Name,Tag Name,Published Date,Asset Name,Download Count
jayly-bot,addons,Cursed Minecraft Texture Pack,cursedmc_v0.0.2,2024-06-26T14:10:36Z,cursedmc_v0.0.2.mcpack,3
jayly-bot,addons,,terminator_old,2024-06-19T12:54:37Z,terminator-v0.0.84.mcaddon,2
jayly-bot,addons,,terminator_old,2024-06-19T12:54:37Z,terminator_v1.0.0.mcaddon,0
jayly-bot,addons,Manhunt Archives,manhunt_old,2024-06-19T12:53:52Z,Beta_1.5.4.mcpack,0
jayly-bot,addons,Manhunt Archives,manhunt_old,2024-06-19T12:53:52Z,manhunt-1.6.0.mcaddon,0
jayly-bot,addons,Manhunt Archives,manhunt_old,2024-06-19T12:53:52Z,manhunt-beta-1.5.2.mcpack,1
jayly-bot,addons,Manhunt Archives,manhunt_old,2024-06-19T12:53:52Z,manhunt-beta-1.5.3.mcpack,1
jayly-bot,addons,Manhunt Archives,manhunt_old,2024-06-19T12:53:52Z,manhunt-beta-1.5.5.mcpack,0
jayly-bot,addons,Manhunt Archives,manhunt_old,2024-06-19T12:53:52Z,manhunt-pr-1-beta-1.5.10.mcaddon,1
jayly-bot,addons,Manhunt Archives,manhunt_old,2024-06-19T12:53:52Z,manhunt-v1.6.1.mcaddon,0
jayly-bot,addons,Manhunt Archives,manhunt_old,2024-06-19T12:53:52Z,manhunt-v1.6.2.mcaddon,0
jayly-bot,addons,Manhunt Archives,manhunt_old,2024-06-19T12:53:52Z,manhunt-v1.6.3.mcaddon,1
jayly-bot,addons,Manhunt Archives,manhunt_old,2024-06-19T12:53:52Z,manhunt-v1.6.4.13.mcaddon,1
jayly-bot,addons,Manhunt Archives,manhunt_old,2024-06-19T12:53:52Z,manhunt_v1.6.5.6.mcaddon,1
jayly-bot,addons,Manhunt Archives,manhunt_old,2024-06-19T12:53:52Z,manhunt_v1.7.0.2.mcaddon,3
jayly-bot,addons,Manhunt Archives,manhunt_old,2024-06-19T12:53:52Z,manhunt_v1.7.1.15.mcaddon,0
jayly-bot,addons,Manhunt Archives,manhunt_old,2024-06-19T12:53:52Z,manhunt_v1.7.1.mcaddon,1
jayly-bot,addons,Enable Experiments v1.20.0,enable_experiments_v1.0.0,2024-06-16T10:45:51Z,experiments_edu.mcpack,7
jayly-bot,addons,Enable Experiments v1.20.0,enable_experiments_v1.0.0,2024-06-16T10:45:51Z,experiments_edu_v1.20.70.mcpack,8
jayly-bot,addons,Void Rising,voidrising,2024-06-07T13:20:08Z,VoidRising.mcpack,152
jayly-bot,addons,Speedometer v1.1.0,speedometer_v1.1.0,2024-05-22T17:01:55Z,speedometer.mcpack,641
jayly-bot,addons,Cinematic Runtime v0.4.0,cinematic-runtime_v0.4.0,2024-05-27T17:23:08Z,CinematicRuntime_v0.4.0+1.20.80.mcaddon,495
jayly-bot,addons,Cinematic Runtime v0.4.0,cinematic-runtime_v0.4.0,2024-05-27T17:23:08Z,CinematicRuntime_v0.4.0+1.21.0.mcaddon,85
